Country Code,Country Name,Year of data,United Nations Region,World Bank Income Status,Food Vehicle,Mandatory Fortification,Mandatory Fortification Source English,Mandatory Fortification Comment,Fortification Year,Fortification Year Source English,Fortification Year Comment,Effective Year,Effective Year Source English,Effective Year Comment,Voluntary Fortification,Voluntary Fortification Year,Voluntary Fortification Source English,Voluntary Fortification Comment,Legislation scope types,Comment on legislation scope types,Legislation scope origins - Domestically Produced,Legislation scope origins - Imports,Legislation scope origins - Exports,Comment on legislation scope origins,Legislation scope uses - Household,Legislation scope uses - Processed food,Legislation scope uses - Animal feed,Legislation scope uses - Donated food,Comment on legislation scope uses,Source of legislation scope data in original language,Source of legislation scope data in English,External monitoring protocol,Source of external monitoring protocol data in original language,Source of external monitoring protocol data in English,Comment on external monitoring protocol data,Import monitoring protocol,Source of import monitoring protocol data in original language,Source of import monitoring protocol data in English,Comment on import monitoring protocol data
144,Mozambique,2016,Africa,Low income,Oil,YES,"Council of Ministers. Gazette of the Republic, Decree No 9/2016, Approving the Regulation of Food Fortification with Industrially  Processed Micronutrients. Mozambique. 18/April/2016.",,2016,"Council of Ministers. Gazette of the Republic, Decree No 9/2016, Approving the Regulation of Food Fortification with Industrially  Processed Micronutrients. Mozambique. 18/April/2016.",Effective 180 days after publication.,2016,,,NO,0,,,All,"All oils for human consumption, including peanut, bagasse, coconut, cottonseed, grapeseed, corn, mustard seed, palm, palm kernel, palm olein, palm stearine, super palm kernel, rapeseed, sesame, soyabean, safflower, sunflower, and mixtures of these.",Domestically produced,Imports,,"All economic operations which import, produce, and market throughout the territory.",Household,Processed food,,,Edible oil for human consumption.,"Council of Ministers. Gazette of the Republic, Decree No 9/2016, Approving the Regulation of Food Fortification with Industrially  Processed Micronutrients. Mozambique. 18/April/2016.","Council of Ministers. Gazette of the Republic, Decree No 9/2016, Approving the Regulation of Food Fortification with Industrially  Processed Micronutrients. Mozambique. 18/April/2016.",Yes,"Council of Ministers. Boletim da República, Decree No 9/2016, Approves the Regulation for the Fortification of Foods with Industrially Processed Micronutrients. Mozambique. April 18, 2016. Council of Ministers. Gazette of the Republic, Decree No 9/2016, Approving the Regulation of Food Fortification with Industrially Processed Micronutrients. Mozambique. 18 / April / 2016. Council of Ministers. Official Bulletin of the Republic, Decree No. 9/2016, Approves the Regulation of Food Fortification with Industrially Processed Micronutrients. Mozambique. April 18, 2016.","Council of Ministers. Boletim da República, Decree No 9/2016, Approves the Regulation for the Fortification of Foods with Industrially Processed Micronutrients. Mozambique. April 18, 2016. Council of Ministers. Gazette of the Republic, Decree No 9/2016, Approving the Regulation of Food Fortification with Industrially Processed Micronutrients. Mozambique. 18 / April / 2016. Council of Ministers. Official Bulletin of the Republic, Decree No. 9/2016, Approves the Regulation of Food Fortification with Industrially Processed Micronutrients. Mozambique. April 18, 2016.",,Yes,"Council of Ministers. Boletim da República, Decree No 9/2016, Approves the Regulation for the Fortification of Foods with Industrially Processed Micronutrients. Mozambique. April 18, 2016. Council of Ministers. Gazette of the Republic, Decree No 9/2016, Approving the Regulation of Food Fortification with Industrially Processed Micronutrients. Mozambique. 18 / April / 2016. Council of Ministers. Official Bulletin of the Republic, Decree No. 9/2016, Approves the Regulation of Food Fortification with Industrially Processed Micronutrients. Mozambique. April 18, 2016.","Council of Ministers. Boletim da República, Decree No 9/2016, Approves the Regulation for the Fortification of Foods with Industrially Processed Micronutrients. Mozambique. April 18, 2016. Council of Ministers. Gazette of the Republic, Decree No 9/2016, Approving the Regulation of Food Fortification with Industrially Processed Micronutrients. Mozambique. 18 / April / 2016. Council of Ministers. Official Bulletin of the Republic, Decree No. 9/2016, Approves the Regulation of Food Fortification with Industrially Processed Micronutrients. Mozambique. April 18, 2016.",
144,Mozambique,0,Africa,Low income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
144,Mozambique,2000,Africa,Low income,Salt,YES,"Council of Ministers. Decree No. 9/2016 of 18 April 2016, Regulation of Industrial Fortification of Processed Foods with Micronutrients.  Republic of Mozambique. 18/April/2016. [http://bit.ly/2u90yeB]","Original legislation for salt iodization issued in 2000 (Pieter Jooste, former Regional Coordinator, for Southern Africa, Iodine Global Network - IDD Newslatter May 2014).",2000,Jooste P. IDD Newsletter May 2014. May/2014.,"Pieter Jooste, former Regional Coordinator, for Southern Africa, Iodine Global Network",2000,,,NO,0,,,All,"e) Food salt, which must contain iodine",Domestically produced,Imports,,"This Regulation shall apply to all economic operators  Which import, produce and market, throughout the territory",Household,Processed food,Animal feed,,"1. It is mandatory fortification d wheat flour, corn flour, edible oil, salt and sugar for human and animal consumption, produced, imported and marketed under the Mozambican Standards (NM) In force.","Council of Ministers. Decree No. 9/2016 of 18 April 2016, Regulation of Industrial Fortification of Processed Foods with Micronutrients.  Republic of Mozambique. 18/April/2016. [http://bit.ly/2u90yeB]","Council of Ministers. Decree No. 9/2016 of 18 April 2016, Regulation of Industrial Fortification of Processed Foods with Micronutrients.  Republic of Mozambique. 18/April/2016. [http://bit.ly/2u90yeB]",Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
144,Mozambique,2016,Africa,Low income,Wheat flour,YES,"Republic of Mozambique, Ministry of Industry and Trade.  Decree approving the regulation of food fortification.  Republic of Mozambique.  February/2016.",,2016,"Republic of Mozambique, Ministry of Industry and Trade.  Decree approving the regulation of food fortification.  Republic of Mozambique.  February/2016.",,2016,,,NO,0,,,All,"""Article 4 Obligatoriness  1. It is mandatory fortification [of] wheat flour, corn flour, edible oil, salt and sugar for human and animal consumption, produced, imported and marketed under the Mozambican Standards (NM) In force.""",Domestically produced,Imports,,"""Article 4 Obligatoriness  1. It is mandatory fortification [of] wheat flour, corn flour, edible oil, salt and sugar for human and animal consumption, produced, imported and marketed under the Mozambican Standards (NM) In force.  ... 3. Products intended for export must be fortified in accordance with the requirements of the importing country.""",Household,Processed food,,Donated food,"""Article 4 Obligatoriness  1. It is mandatory fortification [of] wheat flour, corn flour, edible oil, salt and sugar for human and animal consumption, produced, imported and marketed under the Mozambican Standards (NM) In force.""","Republic of Mozambique, Ministry of Industry and Trade.  Decree approving the regulation of food fortification.  Republic of Mozambique.  February/2016.","Republic of Mozambique, Ministry of Industry and Trade.  Decree approving the regulation of food fortification.  Republic of Mozambique.  February/2016.",Yes,Council of Ministers. Food Fortification Regulation with Micronutrients Industrially Processed. Republic of Mozambique. 18/April/2016.,Council of Ministers. Food Fortification Regulation with Micronutrients Industrially Processed. Republic of Mozambique. 18/April/2016.,Monitoring starts on page 2.,Yes,Council of Ministers. Food Fortification Regulation with Micronutrients Industrially Processed. Republic of Mozambique. 18/April/2016.,Council of Ministers. Food Fortification Regulation with Micronutrients Industrially Processed. Republic of Mozambique. 18/April/2016.,
28,Myanmar,0,Asia,Lower middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
28,Myanmar,0,Asia,Lower middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
28,Myanmar,0,Asia,Lower middle income,Rice,NO,"Lwin Mar Hlaing, Ministry of Health and Sports. Personal communication. Myanmar. 2020.",There is no mandatory fortification of rice.,0,,,0,,,YES,2019,Ministry of Health and Sports. Technical Guidance on Rice Fortification. Myanmar. February/2019. [http://mohs.gov.mm/Main/content/publication/technical-guidance-on-rice-fortification-eng-2019-version-1],,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
28,Myanmar,1998,Asia,Lower middle income,Salt,YES,State Law and Order Restoration Council. Salt Enterprise law (No.6/92). Republic of the Union of Myanmar. September/1992 & Ministry of Mines. Announcement No. 40/98. Rules Relating to the Salt Enterprise Law. Republic of the Union of Myanmar.  19/November/1998.,"The Salt Enterprise Law (1992) and Rules (1998) regulates the production, sale and export of salt. It requies all salt producing facilities to apply for a licence and those applying for an iodized salt licence may only produce iodized salt.",1998,State Law and Order Restoration Council. Salt Enterprise law (No.6/92). Republic of the Union of Myanmar. September/1992 & Ministry of Mines. Announcement No. 40/98. Rules Relating to the Salt Enterprise Law. Republic of the Union of Myanmar.  19/November/1998.,,1998,,,NO,0,,,All,Current salt iodization legislation in Myanmar does not indicate the scope but it is assumed to refer to all salt domestically produced by producers with an iodized salt licence. It is unlikely that it includes salt for processed food or animal feed.,Domestically produced,,,Current salt iodization legislation in Myanmar does not indicate the scope but it is assumed to refer to all salt domestically produced by producers with an iodized salt licence. It is unlikely that it includes salt for processed food or animal feed.,Household,,,,,Current salt iodization legislation in Myanmar does not indicate the scope but it is assumed to refer to all salt domestically produced by producers with an iodized salt licence. It is unlikely that it includes salt for processed food or animal feed.,Current salt iodization legislation in Myanmar does not indicate the scope but it is assumed to refer to all salt domestically produced by producers with an iodized salt licence. It is unlikely that it includes salt for processed food or animal feed.,Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
28,Myanmar,0,Asia,Lower middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
147,Namibia,0,Africa,Upper middle income,Maize flour,NO,"Antoinette Prizen, National Agronomic Board. Personal communication. Namibia. 2018.","National Agronomic Board requires national mills to fortify to get their milling license, however there is no mandatory legislation. ",0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
147,Namibia,0,Africa,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
147,Namibia,0,Africa,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
147,Namibia,1994,Africa,Upper middle income,Salt,YES,"Ministy of Health and Social Services. Amendment of Regulations Relating to the Standards of Food, Drugs and Disinfectants. No. 124 of 1994. In Government Gazette 15 July 1994. Namibia. 15/July/1994. [https://bit.ly/2RaqHjX]",This standard for salt sets a maximum limit for flouride as well as minimum and maximum limits for iodine.,1994,"Ministy of Health and Social Services. Amendment of Regulations Relating to the Standards of Food, Drugs and Disinfectants. No. 124 of 1994. In Government Gazette 15 July 1994. Namibia. 15/July/1994. [https://bit.ly/2RaqHjX]",,1994,,,NO,0,,,All,"4.1 (1) All types of salt referred to in subregulation (2) shall (contain iodine): (2) (a) table salt, (b) household salt, (c) free-flowing table salt, (d) flavoured salt, (e) powedered onion salt, garlic salt and celery salt.",Domestically produced,Imports,,As origins were not specified it was assumed the scope of the law applies to all domestically produced and imported product and excludes exports,Household,,,,"4.1 (1) All types of salt referred to in subregulation (2) shall (contain iodine): (2) (a) table salt, (b) houseold salt, (c) free-flowing table salt, (d) flavoured salt, (e) onion salt, garlic salt and celery salt.","Ministy of Health and Social Services. Amendment of Regulations Relating to the Standards of Food, Drugs and Disinfectants. No. 124 of 1994. In Government Gazette 15 July 1994. Namibia. 15/July/1994. [https://bit.ly/2RaqHjX]","Ministy of Health and Social Services. Amendment of Regulations Relating to the Standards of Food, Drugs and Disinfectants. No. 124 of 1994. In Government Gazette 15 July 1994. Namibia. 15/July/1994. [https://bit.ly/2RaqHjX]",Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
147,Namibia,0,Africa,Upper middle income,Wheat flour,NO,"Antoinette Prizen, National Agronomic Board. Personal communication. Namibia. 2018.","National Agronomic Board requires national mills to fortify to get their milling license, however there is no mandatory legislation.",0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
148,Nauru,0,Oceania,Upper middle income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
148,Nauru,0,Oceania,Upper middle income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
148,Nauru,0,Oceania,Upper middle income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
148,Nauru,0,Oceania,Upper middle income,Salt,NO,"Personal communication: Peter Hoejskov, Technical Lead - Food Safety, World Health Organization Regional Office for the Western Pacific. Republic of Philippines. March/2017.",,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,Not applicable because this country does not have mandatory fortification.,Not applicable,,,Not applicable because this country does not have mandatory fortification.
148,Nauru,0,Oceania,Upper middle income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
149,Nepal,0,Asia,Low income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
149,Nepal,0,Asia,Low income,Oil,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
149,Nepal,0,Asia,Low income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
149,Nepal,1998,Asia,Low income,Salt,YES,"The Parliament. Iodized Salt (Production, Sale and Distribution) Act No 16, 2055 (1998). Published 15 Jan 1999. Amended 21 Jan 2010. Federal Democratic Republic of Nepal. 21/January/1999",,1998,"The Parliament. Iodized Salt (Production, Sale and Distribution) Act No 16, 2055 (1998). Published 15 Jan 1999. Amended 21 Jan 2010. Federal Democratic Republic of Nepal. 21/January/1999",The Act was published in 1999.,1999,,,NO,0,,,All,"3. Prohibition of Production, Import and Distribution of Salt: No person shall import into Nepal and purchase and sell iodine free salt without obtaining permission as prescribed from the committee.",Domestically produced,Imports,,"3. Prohibition of Production, Import and Distribution of Salt: No person shall import into Nepal and purchase and sell iodine free salt without obtaining permission as prescribed from the committee.",Household,Processed food,Animal feed,,"3. Prohibition of Production, Import and Distribution of Salt: No person shall import into Nepal and purchase and sell iodine free salt without obtaining permission as prescribed from the committee.","The Parliament. Iodized Salt (Production, Sale and Distribution) Act No 16, 2055 (1998). Published 15 Jan 1999. Amended 21 Jan 2010. Federal Democratic Republic of Nepal. 21/January/1999","The Parliament. Iodized Salt (Production, Sale and Distribution) Act No 16, 2055 (1998). Published 15 Jan 1999. Amended 21 Jan 2010. Federal Democratic Republic of Nepal. 21/January/1999",Yes,IDD Elimination Committee of Ministry of Health. Iodized Salt Monitoring System: Internal Monitoring System & External Monitoring System. Nepal. No date,IDD Elimination Committee of Ministry of Health. Iodized Salt Monitoring System: Internal Monitoring System & External Monitoring System. Nepal. No date,Details on external monitoring begins on page 19.,Yes,IDD Elimination Committee of Ministry of Health. Iodized Salt Monitoring System: Internal Monitoring System & External Monitoring System. Nepal. No date,IDD Elimination Committee of Ministry of Health. Iodized Salt Monitoring System: Internal Monitoring System & External Monitoring System. Nepal. No date,Details on import monitoring begins on page 19.
149,Nepal,2011,Asia,Low income,Wheat flour,YES,"Nepal Government, Ministry of Agriculture and Cooperatives. First notice regarding mandatory flour fortification. Nepal. 27/June/2011.",,2011,"Nepal Government, Ministry of Agriculture and Cooperatives. First notice regarding mandatory flour fortification. Nepal. 27/June/2011.",,2011,,,NO,0,,,All,Not stipulated; it was assumed that all wheat flour must be fortified,Domestically produced,Imports,,Not stipulated; it was assumed that domestically produced and imported flour must be fortified and exported flour does not need to be fortified.,Household,Processed food,,,Not stipulated; it was assumed that flour for household and processed foods must be fortified and flour for animal feed or that is donated does not need to be fortified.,"Nepal Government, Ministry of Agriculture and Cooperatives. First notice regarding mandatory flour fortification. Nepal. 27/June/2011.","Nepal Government, Ministry of Agriculture and Cooperatives. First notice regarding mandatory flour fortification. Nepal. 27/June/2011.",Unknown,,,,Unknown,,,
150,Netherlands,0,Europe,High income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
150,Netherlands,0,Europe,High income,Oil,NO,,,0,,,0,,,YES,2014,"Ministry of Health, Welfare, and Sport. Commodities Act Decree on the Addition of Micro-Nutrients to Foodstuffs. Netherlands. 14/November/2014.",,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
150,Netherlands,0,Europe,High income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
150,Netherlands,0,Europe,High income,Salt,NO,"Gerasimov G. Increasing iodine intakes in populations through the use of iodized salt in bread baking, IDD Newsletter August 2009. August/2009.  [http://www.ign.org/newsletter/idd_nl_aug09_baking.pdf]",Iodization of bread salt was mandatory from 1942 to 1984. Since then it has been voluntary but widely practiced. Authorities have adjusted the levels of iodine a number of times and changed the list of foods which may be made with iodized salt.,0,,,0,,,YES,1984,"Official Gazette of the Kingdom of the Netherlands, Decision of 13 June 2008, on a change in the legislation concerning addition of micronutrients to foods, regarding addition of iodine.  Kingdom of the Netherlands. 13/June/2008. [http://bit.ly/2xulJ8u]","Iodization of bread salt was mandatory from 1942 to 1984. Since then it has been voluntary but widely practiced. Authorities have adjusted the levels of iodine a number of times and changed the list of foods which may be made with iodized salt. Replaces Commodities Act Decree on the addition of micronutrients to foodstuffs. Netherlands, Kingdom of the. 25/June/1996. [http://bit.ly/2w6aG5L] Came into effect July 2009",,,,,,,,,,,,,,Not applicable,,,Not applicable because this country does not have mandatory fortification.,Not applicable,,,This country has voluntary salt iodization.
150,Netherlands,0,Europe,High income,Wheat flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
151,Netherlands Antilles,1995,Americas,High income,Maize flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
151,Netherlands Antilles,,Americas,High income,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
151,Netherlands Antilles,1995,Americas,High income,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
151,Netherlands Antilles,,Americas,High income,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
151,Netherlands Antilles,1995,Americas,High income,Wheat flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
153,New Caledonia,1995,Fiji,High income,Maize flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
153,New Caledonia,2013,Fiji,High income,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
153,New Caledonia,1995,Fiji,High income,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
153,New Caledonia,,Fiji,High income,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
153,New Caledonia,1995,Fiji,High income,Wheat flour,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
156,New Zealand,0,Oceania,High income,Maize flour,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
156,New Zealand,0,Oceania,High income,Oil,NO,,,0,,,0,,,YES,2017,"No Author. Australia New Zealand Food Standards Code - Schedule 17 - Vitamins and Minerals, Authorised Version F2017C00328. Australia. 13/April/2017.",,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
156,New Zealand,0,Oceania,High income,Rice,UNKNOWN,,,0,,,0,,,UNKNOWN,0,,,,,,,,,,,,,,,,Not applicable,,,,Not applicable,,,
156,New Zealand,2009,Oceania,High income,Salt,YES,"Food Standards Australia New Zealand. Australia New Zealand Food Standards Code - Standard 2.10.2 - Salt and Salt Products. Australia, Commonwealth of. 1/March/2016 [https://goo.gl/pv1He2];  Food Standards Australia New Zealand. Australia New Zealand Food Standards Code - Standard 2.1.1 - Cereal and cereal products.  Commonwealth of Australia. 1/March/2016 [ttps://goo.gl/PFCZ5R]",Only salt used in bread making is mandatory; Replaces Food Standards Australia New Zealand. Standard 2.1.1: Cereals and Cereal Products. 01/December/2009. [https://goo.gl/PFCZ5R];Original requirement established in 2009. Data verified by GFDx Survey 2018.,2009,Food Standards Australia New Zealand. Australia New Zealand Food Standards Code - Standard 2.1.1 - Cereal and cereal products. Commonwealth of Australia.  01/December/2009. [https://goo.gl/PFCZ5R],Standard for cereal products was updated in 2015; effective 2016. [https://www.legislation.gov.au/Details/F2015L00420],2009,,,NO,0,,,All,Only salt used in bread making is mandatory.,Domestically produced,Imports,,As origins were not specified it was assumed the scope of the law applies to all domestically produced and imported product and excludes exports,,Processed food,,,Purpose: .....mandatory replacement of non-iodised salt with iodised salt in bread in Australia and New Zealand.,"Food Standards Australia New Zealand. Australia New Zealand Food Standards Code - Standard 2.10.2 - Salt and Salt Products. Australia, Commonwealth of. 1/March/2016 [https://goo.gl/pv1He2];  Food Standards Australia New Zealand. Australia New Zealand Food Standards Code - Standard 2.1.1 - Cereal and cereal products.  Commonwealth of Australia. 1/March/2016 [ttps://goo.gl/PFCZ5R]","Food Standards Australia New Zealand. Australia New Zealand Food Standards Code - Standard 2.10.2 - Salt and Salt Products. Australia, Commonwealth of. 1/March/2016 [https://goo.gl/pv1He2];  Food Standards Australia New Zealand. Australia New Zealand Food Standards Code - Standard 2.1.1 - Cereal and cereal products.  Commonwealth of Australia. 1/March/2016 [ttps://goo.gl/PFCZ5R]",Unknown,"Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]","Worldatlas. The World's Top Salt Producing Countries. Extracted 20/August/2020. [https://bit.ly/2U9Rgbg], IndexMundi. Salt Production by Country (Thousand metric tons). Extracted 20/August/2020. [https://bit.ly/2MlWKwP], British Geological Survey. Mineral Production 2008 to 2012. Extracted 20/August/2020. [https://bit.ly/3ggeya3]",Country is salt producing. Hence we assume having an external monitoring protocol is applicable.,Unknown,"IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]","IndexMundi. Salt (incl. table salt & denatured salt) & pure sodium chloride, whether or ... Imports by Country in US Dollars. Extracted 20 August 2020. [https://bit.ly/3heCICU], Tridge. Top Importing Countries of Salt. Extracted 20 August 2020. [https://bit.ly/329Zs0D], World's Richest Countries. Salt Importers. Extracted 20 August 2020. [https://bit.ly/3g9M41y]",Country is a salt importer. Hence we assume having an import monitoring protocol is applicable.
